word,length,fre,pmi,entropy
巨大的黑,4,3.344929087503345e-05,4.988995300661834,1.0986122886681096
反应过来,4,3.344929087503345e-05,4.987359977321104,1.0986122886681096
色的眼睛,4,3.344929087503345e-05,4.966340610097028,1.0986122886681096
你这家伙,4,5.574881812505575e-05,4.729530868019004,1.3321790402101223
没事吧,3,4.45990545000446e-05,5.021430576414988,1.0397207708399179
件事,2,0.00023414503612523415,4.748468069038754,1.2997520323422656
段话,2,5.574881812505575e-05,4.993259699448291,1.0549201679861442
个大案子,4,3.344929087503345e-05,4.947322604261266,1.0986122886681096
个子挺高,4,3.344929087503345e-05,4.947322604261266,1.0986122886681096
就在此,3,4.45990545000446e-05,4.645997755405698,1.3862943611198906
爬起来,3,4.45990545000446e-05,4.987359977321104,1.0397207708399179
才发现,3,7.804834537507805e-05,4.535077809167723,1.4750763110546947
躺在,2,6.68985817500669e-05,4.214170089087622,1.7917594692280547
眼前这个,4,5.574881812505575e-05,4.392697946091807,1.6094379124341005
双眼,2,0.00016724645437516726,4.009148526851456,1.9867316488081914
两个月,3,5.574881812505575e-05,4.370585775545732,1.6094379124341005
整理档案时,5,3.344929087503345e-05,4.870303421900086,1.0986122886681096
于某些,3,4.45990545000446e-05,4.922132355432708,1.0397207708399179
紧张地,3,8.91981090000892e-05,4.572948083223133,1.3862943611198906
周·,2,8.91981090000892e-05,4.628726168897038,1.3208883431493221
只剩,2,3.344929087503345e-05,4.843533180835481,1.0986122886681096
沙发上,3,4.45990545000446e-05,4.5497377575784075,1.3862943611198906
小鬼头,3,4.45990545000446e-05,4.540288868380475,1.3862943611198906
这些书,3,5.574881812505575e-05,4.587137345177789,1.3321790402101223
你是怎么,4,5.574881812505575e-05,4.287698115739964,1.6094379124341005
在一旁,3,5.574881812505575e-05,4.283162960574574,1.6094379124341005
在这儿,3,5.574881812505575e-05,4.283162960574574,1.6094379124341005
房间里,3,0.00012264739987512266,3.915849618430785,1.9722469794234416
主人吗,3,3.344929087503345e-05,4.786689281858952,1.0986122886681096
正坐在,3,4.45990545000446e-05,4.493590755183267,1.3862943611198906
兴奋地,3,5.574881812505575e-05,4.2699985386405634,1.6094379124341005
抬起头,3,6.68985817500669e-05,4.085552711265528,1.7917594692280547
地低声说,4,4.45990545000446e-05,4.835312347690624,1.0397207708399179
每个月,3,3.344929087503345e-05,4.776050883653896,1.0986122886681096
那个男人,4,6.68985817500669e-05,4.310687633964664,1.5607104090414063
尴尬地,3,3.344929087503345e-05,4.770773826553053,1.0986122886681096
快乐地,3,3.344929087503345e-05,4.770773826553053,1.0986122886681096
轻巧地,3,3.344929087503345e-05,4.770773826553053,1.0986122886681096
这个城市,4,3.344929087503345e-05,4.769458901971744,1.0986122886681096
开心地,3,5.574881812505575e-05,4.535285730989867,1.3321790402101223
转过头,3,6.68985817500669e-05,4.299126811563587,1.5607104090414063
一切都,3,8.91981090000892e-05,4.125463317512747,1.7328679513998633
有些用来,4,3.344929087503345e-05,4.753813211246007,1.0986122886681096
人工智能,4,4.45990545000446e-05,4.464838313791922,1.3862943611198906
即使是,3,0.0001783962180001784,3.237947016490793,2.599301927099795
看呐,2,4.45990545000446e-05,4.447784940269127,1.3862943611198906
衣架上,3,3.344929087503345e-05,4.732059314372362,1.0986122886681096
东方楠立即,5,3.344929087503345e-05,4.729530868019004,1.0986122886681096
小声问,3,5.574881812505575e-05,4.490354909173745,1.3321790402101223
向地面,3,3.344929087503345e-05,4.712008517326801,1.0986122886681096
步走向,3,3.344929087503345e-05,4.712008517326801,1.0986122886681096
这么简单,4,4.45990545000446e-05,4.769458901971744,1.0397207708399179
感受到,3,5.574881812505575e-05,4.470669234102715,1.3321790402101223
